X, Y, Kappa, Left Wing, Right Wing
2, 2, 0.0749, 0, 0
2.5871, 2.9585, 0.1166, 0, 0
3.1687, 3.7034, 0.182, 0, 0
3.7433, 4.2533, 0.2767, 0, 0
4.309, 4.6268, 0.3911, 0, 0
4.8644, 4.8426, 0.4861, 0, 0
5.4078, 4.9191, 0.513, 0, 0
5.9375, 4.875, 0.4661, 0, 0
6.4519, 4.7289, 0.3838, 0, 0
6.9493, 4.4993, 0.3026, 0, 0
7.4282, 4.2048, 0.2375, 0, 0
7.8868, 3.8641, 0.1896, 0, 0
8.3236, 3.4956, 0.1559, 0, 0
8.7369, 3.1181, 0.1329, 0, 0
9.125, 2.75, 0.1185, 0, 0
9.4863, 2.41, 0.1121, 0, 0
9.8192, 2.1166, 0.1175, 0, 0
10.122, 1.8885, 0.1541, 0, 0
10.393, 1.7442, 0.3026, 0, 0
10.631, 1.7023, 0.7044, 0, 0
10.834, 1.7813, 0.7998, 0, 0
11, 2, 0.4072, 0, 0
11.128, 2.3768, 0.1891, 0, 0
11.216, 2.9304, 0.0998, 0, 0
11.262, 3.6793, 0.0595, 0, 0
11.266, 4.6421, 0.0387, 0, 0
11.224, 5.8375, 0.0269, 0, 0
11.136, 7.2839, 0.0196, 0, 0
11, 9, 0.2857, 0, 0
10.734, 9.6562, 0.3006, 0, 0
10.313, 10.208, 0.2656, 0, 0
9.7344, 10.656, 0.2048, 0, 0
9, 11, 0.1494, 0, 0
